model,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
rf_glmboost,20,Af+Af_shortRunLowGrey,Ser+eNA78Seru,Af+Af_longRunEmph,JS+3D_Sc_Sf_JS,Af+Af_shortRunEmph,Ser+mMP7Seru,Af+Af_BVTV,C+C_shortRunHighGrey,C+C_lowGreyLevelRun,clinic+LowerBackPain,Sal+cXCL16SAL,Sal+oPGSAL,Af+Af_lowGreyLevelRun,clinic+MuscleSore,C+C_shortRunEmph,Af+Af_TbTh,C+C_highGreyLevelRun,Sal+mMP7SAL,clinic+Headache,Sal+tRANCESAL,,,,,,,,,,,,,,,,,,,,
xgbTree_glmnet,10,Sal+oPGSAL,Af+Af_greyLevelNonunif,Ser+eNA78Seru,Ser+bDNFSeru,C+C_highGreyLevelRun,Ser+pAI1Seru,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_rf,15,Af+Af_TbSp,JS+3D_Sc_Sf_JS,Af+Af_shortRunHighGrey,Ser+eNA78Seru,C+C_highGreyLevelRun,C+C_shortRunHighGrey,clinic+Headache,clinic+MuscleSore,C+C_longRunHighGrey,Af+Af_longRunLowGrey,Af+Af_BSBV,Af+Af_TbTh,Sal+tRANCESAL,clinic+RestlessSleep,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_xgbTree,20,Ser+tGFb1Seru,Af+Af_lowGreyLevelRun,Af+Af_entropy,Ser+pAI1Seru,Ser+angiogeninSeru,C+C_TbTh,clinic+MouthOpen,C+C_longRunHighGrey,Ser+oPGSeru,Sal+angiogeninSAL,C+C_invDiffMoment,Af+Af_TbN,Sal+vEGFSAL,Ser+vECadherinSeru,C+C_greyLevelNonunif,Af+Af_longRunLowGrey,Ser+eNA78Seru,clinic+LowerBackPain,C+C_TbN,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,
xgbTree_lda2,10,C+C_BVTV,Sal+vEGFSAL,C+C_shortRunLowGrey,C+C_energy,C+C_lowGreyLevelRun,C+C_longRunLowGreys,C+C_highGreyLevelRun,C+C_shortRunEmph,C+C_longRunEmph,Af+Af_TbTh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_nnet,10,C+C_TbN,C+C_inertia,Af+Af_longRunLowGrey,Ser+pAI1Seru,Af+Af_BSBV,Af+Af_BVTV,clinic+RestlessSleep,C+C_invDiffMoment,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmboost,20,C+C_TbN,C+C_TbTh,C+C_BSBV,C+C_BVTV,Af+Af_greyLevelNonunif,C+C_longRunHighGrey,C+C_TbSp,C+C_greyLevelNonunif,Ser+mMP7Seru,JS+3D_Sc_Sf_JS,clinic+Headache,Ser+tGFb1Seru,Sal+oPGSAL,Af+Af_entropy,clinic+MouthOpen,Af+Af_BVTV,Ser+eNA78Seru,clinic+MuscleSore,Af+Af_energy,Sal+tRANCESAL,,,,,,,,,,,,,,,,,,,,
lda2_glmnet,15,Af+Af_shortRunEmph,Ser+pAI1Seru,Ser+oPGSeru,Sal+mMP7SAL,clinic+MouthOpen,Sal+tGFb1SAL,JS+3D_Sc_Sf_JS,clinic+RestlessSleep,Ser+eNA78Seru,C+C_shortRunHighGrey,Sal+tIMP1SAL,clinic+LowerBackPain,Sal+vEGFSAL,Af+Af_BSBV,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_rf,10,Ser+pAI1Seru,Af+Af_TbTh,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,Af+Af_BVTV,JS+3D_Sc_Sf_JS,Af+Af_longRunHighGrey,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_xgbTree,15,Sal+vEGFSAL,Sal+oPGSAL,C+C_TbN,Ser+angiogeninSeru,C+C_energy,Af+Af_energy,Ser+oPGSeru,Af+Af_longRunHighGrey,Ser+tGFb1Seru,C+C_invDiffMoment,C+C_highGreyLevelRun,clinic+LowerBackPain,C+C_shortRunLowGrey,clinic+Headache,JS+3D_Sc_Sf_JS,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_lda2,5,C+C_entropy,Af+Af_BSBV,Af+Af_TbSp,Af+Af_shortRunLowGrey,Af+Af_longRunLowGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_nnet,20,Ser+pAI1Seru,C+C_correlation,Af+Af_runLengthNonunif,C+C_lowGreyLevelRun,Sal+mMP7SAL,Af+Af_longRunEmph,C+C_TbN,Af+Af_correlation,Af+Af_energy,demo+Age,Sal+vECadherinSAL,Af+Af_BVTV,clinic+MuscleSore,C+C_BVTV,Ser+tGFb1Seru,Af+Af_shortRunEmph,C+C_BSBV,Ser+eNA78Seru,C+C_longRunHighGrey,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,
lda2_glmboost,20,Af+Af_inertia,C+C_TbN,Ser+vECadherinSeru,Af+Af_TbSp,Sal+eNA78SAL,Sal+tRANCESAL,Af+Af_shortRunHighGrey,Af+Af_TbN,Af+Af_BVTV,Ser+cXCL16Seru,Ser+oPGSeru,Af+Af_longRunEmph,C+C_inertia,Ser+vEGFSeru,Af+Af_shortRunEmph,C+C_longRunEmph,Af+Af_BSBV,C+C_energy,C+C_TbSp,Af+Af_highGreyLevelRun,,,,,,,,,,,,,,,,,,,,
nnet_glmnet,10,Sal+oPGSAL,Af+Af_greyLevelNonunif,Ser+eNA78Seru,Ser+bDNFSeru,C+C_highGreyLevelRun,Ser+pAI1Seru,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_rf,5,Af+Af_TbTh,C+C_TbN,clinic+LowerBackPain,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_xgbTree,15,clinic+Headache,Af+Af_greyLevelNonunif,Af+Af_highGreyLevelRun,Af+Af_shortRunEmph,C+C_TbN,Ser+mMP3Seru,JS+3D_Sc_Sf_JS,clinic+MuscleSore,Ser+mMP7Seru,Ser+angiogeninSeru,Sal+angiogeninSAL,clinic+MouthOpen,Sal+tIMP1SAL,Sal+tGFb1SAL,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_lda2,10,C+C_BVTV,Sal+vEGFSAL,C+C_shortRunLowGrey,C+C_energy,C+C_lowGreyLevelRun,C+C_longRunLowGreys,C+C_highGreyLevelRun,C+C_shortRunEmph,C+C_longRunEmph,Af+Af_TbTh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_nnet,15,Ser+tIMP1Seru,Af+Af_longRunHighGrey,Af+Af_correlation,Sal+cXCL16SAL,Ser+bDNFSeru,Sal+oPGSAL,C+C_BSBV,C+C_shortRunHighGrey,Sal+vEGFSAL,Af+Af_greyLevelNonunif,Sal+angiogeninSAL,Ser+eNA78Seru,Af+Af_BSBV,Ser+tRANCESeru,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmboost,15,clinic+Headache,Af+Af_correlation,C+C_greyLevelNonunif,Ser+pAI1Seru,Af+Af_energy,Ser+cXCL16Seru,Af+Af_highGreyLevelRun,Ser+tRANCESeru,clinic+LowerBackPain,JS+3D_Sc_Sf_JS,Af+Af_entropy,Sal+tRANCESAL,clinic+MouthOpen,Af+Af_BSBV,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmnet,10,Sal+oPGSAL,Af+Af_greyLevelNonunif,Ser+eNA78Seru,Ser+bDNFSeru,C+C_highGreyLevelRun,Ser+pAI1Seru,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_rf,20,Af+Af_TbSp,clinic+MouthOpen,Af+Af_shortRunHighGrey,clinic+MuscleSore,Af+Af_highGreyLevelRun,Ser+eNA78Seru,Af+Af_longRunHighGrey,C+C_shortRunHighGrey,Ser+pAI1Seru,Af+Af_BVTV,C+C_highGreyLevelRun,Af+Af_TbN,Af+Af_longRunLowGrey,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Af+Af_TbTh,clinic+Headache,Sal+tRANCESAL,clinic+RestlessSleep,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,
glmboost_xgbTree,5,C+C_longRunLowGreys,clinic+Headache,Ser+mMP3Seru,clinic+RestlessSleep,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_lda2,15,C+C_runLengthNonunif,C+C_longRunLowGreys,clinic+Headache,C+C_correlation,Af+Af_shortRunEmph,Af+Af_correlation,Af+Af_TbTh,Af+Af_longRunEmph,Af+Af_TbN,Af+Af_TbSp,Af+Af_BVTV,Af+Af_entropy,Sal+vEGFSAL,Af+Af_lowGreyLevelRun,Af+Af_shortRunLowGrey,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_nnet,15,Ser+vEGFSeru,Ser+mMP7Seru,C+C_highGreyLevelRun,Ser+bDNFSeru,Af+Af_entropy,Af+Af_TbSp,Sal+oPGSAL,Af+Af_greyLevelNonunif,Sal+mMP7SAL,Af+Af_BSBV,clinic+RestlessSleep,C+C_shortRunHighGrey,Ser+pAI1Seru,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmboost,10,C+C_inertia,Sal+oPGSAL,C+C_longRunHighGrey,C+C_highGreyLevelRun,Af+Af_TbTh,Af+Af_correlation,Af+Af_shortRunLowGrey,Ser+eNA78Seru,clinic+MuscleSore,C+C_entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmnet,5,JS+3D_Sc_Sf_JS,C+C_shortRunHighGrey,Sal+oPGSAL,Sal+mMP7SAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_rf,10,clinic+RestlessSleep,Ser+cXCL16Seru,Af+Af_longRunHighGrey,Af+Af_lowGreyLevelRun,clinic+Headache,JS+3D_Sc_Sf_JS,Af+Af_highGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_longRunLowGrey,clinic+MouthOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_xgbTree,10,Af+Af_longRunHighGrey,Sal+cXCL16SAL,C+C_TbSp,Sal+mMP7SAL,Sal+angiogeninSAL,Af+Af_TbTh,clinic+LowerBackPain,Ser+eNA78Seru,C+C_shortRunHighGrey,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_lda2,10,Af+Af_shortRunHighGrey,C+C_longRunEmph,C+C_runLengthNonunif,Af+Af_longRunHighGrey,Sal+oPGSAL,Af+Af_BVTV,Af+Af_BSBV,C+C_correlation,C+C_longRunHighGrey,C+C_BVTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_nnet,5,Ser+vEGFSeru,C+C_shortRunHighGrey,C+C_highGreyLevelRun,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmboost,10,Ser+tIMP1Seru,C+C_correlation,C+C_BSBV,Ser+tGFb1Seru,clinic+Headache,Sal+oPGSAL,Sal+mMP7SAL,C+C_highGreyLevelRun,Af+Af_BVTV,clinic+MuscleSore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmnet,5,Sal+mMP7SAL,Sal+angiogeninSAL,Ser+vEGFSeru,clinic+Headache,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_rf,20,Sal+oPGSAL,C+C_BSBV,Af+Af_longRunHighGrey,Sal+tRANCESAL,clinic+MouthOpen,Af+Af_lowGreyLevelRun,C+C_correlation,Af+Af_longRunLowGrey,Af+Af_highGreyLevelRun,C+C_lowGreyLevelRun,Af+Af_shortRunLowGrey,Af+Af_TbSp,clinic+LowerBackPain,Af+Af_shortRunHighGrey,C+C_shortRunHighGrey,Af+Af_BSBV,Af+Af_BVTV,Af+Af_TbTh,C+C_highGreyLevelRun,clinic+Headache,,,,,,,,,,,,,,,,,,,,
glmnet_xgbTree,10,Ser+tIMP1Seru,JS+3D_Sc_Sf_JS,Af+Af_shortRunEmph,clinic+RestlessSleep,Af+Af_invDiffMoment,Af+Af_longRunEmph,Ser+oPGSeru,C+C_lowGreyLevelRun,Af+Af_longRunLowGrey,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_lda2,5,Af+Af_TbTh,Af+Af_BVTV,Af+Af_runLengthNonunif,C+C_TbSp,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_nnet,5,clinic+MuscleSore,Ser+pAI1Seru,clinic+LowerBackPain,Sal+oPGSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmboost,5,clinic+Headache,Ser+eNA78Seru,Sal+vECadherinSAL,clinic+MuscleSore,Af+Af_BVTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmnet,20,Sal+eNA78SAL,C+C_TbN,Af+Af_shortRunEmph,Af+Af_correlation,Sal+tIMP1SAL,Sal+mMP7SAL,Sal+oPGSAL,Af+Af_TbN,Af+Af_longRunHighGrey,clinic+LowerBackPain,Sal+vECadherinSAL,Af+Af_greyLevelNonunif,Sal+vEGFSAL,Sal+angiogeninSAL,Ser+eNA78Seru,C+C_shortRunHighGrey,Ser+vEGFSeru,JS+3D_Sc_Sf_JS,Af+Af_BSBV,clinic+Headache,,,,,,,,,,,,,,,,,,,,
svmLinear_rf,10,Af+Af_lowGreyLevelRun,Af+Af_BSBV,Af+Af_longRunLowGrey,clinic+LowerBackPain,C+C_highGreyLevelRun,Af+Af_shortRunHighGrey,clinic+MouthOpen,C+C_shortRunHighGrey,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_xgbTree,20,clinic+LowerBackPain,Sal+vECadherinSAL,C+C_lowGreyLevelRun,Ser+vECadherinSeru,Ser+eNA78Seru,C+C_correlation,Ser+tGFb1Seru,Af+Af_longRunHighGrey,JS+3D_Sc_Sf_JS,Sal+tRANCESAL,C+C_TbN,Af+Af_shortRunLowGrey,Ser+tIMP1Seru,C+C_highGreyLevelRun,clinic+Headache,Ser+bDNFSeru,clinic+MouthOpen,Sal+tIMP1SAL,Sal+eNA78SAL,Sal+tGFb1SAL,,,,,,,,,,,,,,,,,,,,
svmLinear_lda2,20,Ser+tIMP1Seru,Sal+oPGSAL,Ser+vECadherinSeru,C+C_TbTh,Af+Af_shortRunHighGrey,C+C_highGreyLevelRun,C+C_inertia,Sal+vEGFSAL,Sal+tIMP1SAL,Af+Af_entropy,C+C_runLengthNonunif,C+C_shortRunEmph,Af+Af_inertia,C+C_invDiffMoment,Ser+bDNFSeru,C+C_longRunHighGrey,C+C_BVTV,C+C_correlation,Af+Af_longRunHighGrey,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,
svmLinear_nnet,5,Ser+pAI1Seru,clinic+LowerBackPain,Sal+angiogeninSAL,Ser+vEGFSeru,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmboost,15,clinic+MouthOpen,C+C_BSBV,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,Af+Af_longRunEmph,Ser+pAI1Seru,C+C_lowGreyLevelRun,Sal+tGFb1SAL,demo+Age,Af+Af_highGreyLevelRun,clinic+Headache,Ser+tGFb1Seru,Af+Af_shortRunLowGrey,Ser+angiogeninSeru,Sal+tRANCESAL,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmnet,10,clinic+MuscleSore,Ser+mMP7Seru,Sal+oPGSAL,Sal+angiogeninSAL,Ser+bDNFSeru,clinic+LowerBackPain,Sal+mMP7SAL,Af+Af_BSBV,Ser+vEGFSeru,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_rf,15,Ser+eNA78Seru,Ser+bDNFSeru,C+C_lowGreyLevelRun,Ser+pAI1Seru,Sal+oPGSAL,Ser+cXCL16Seru,Sal+tRANCESAL,C+C_highGreyLevelRun,clinic+LowerBackPain,clinic+MouthOpen,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,JS+3D_Sc_Sf_JS,clinic+Headache,Af+Af_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
rf_xgbTree,10,Sal+angiogeninSAL,clinic+Headache,Ser+tIMP1Seru,Af+Af_energy,Sal+mMP7SAL,Af+Af_TbN,clinic+RestlessSleep,Af+Af_shortRunEmph,Af+Af_lowGreyLevelRun,Sal+tRANCESAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_lda2,20,Af+Af_longRunHighGrey,clinic+MuscleSore,Ser+angiogeninSeru,Sal+vEGFSAL,Af+Af_highGreyLevelRun,C+C_inertia,C+C_longRunHighGrey,C+C_longRunEmph,Af+Af_TbTh,C+C_BVTV,Sal+angiogeninSAL,C+C_TbTh,Af+Af_runLengthNonunif,Af+Af_shortRunEmph,C+C_shortRunHighGrey,Af+Af_energy,Af+Af_lowGreyLevelRun,Af+Af_BSBV,Af+Af_TbSp,Af+Af_shortRunLowGrey,,,,,,,,,,,,,,,,,,,,
rf_nnet,5,Sal+tRANCESAL,Ser+tIMP1Seru,Af+Af_BVTV,Sal+vECadherinSAL,JS+3D_Sc_Sf_JS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmboost,15,demo+Age,Sal+tIMP1SAL,Af+Af_BSBV,Af+Af_runLengthNonunif,Ser+mMP3Seru,Af+Af_TbN,C+C_TbSp,Af+Af_shortRunEmph,C+C_TbTh,C+C_inertia,Sal+mMP7SAL,Sal+oPGSAL,Af+Af_shortRunLowGrey,Af+Af_longRunLowGrey,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmnet,5,clinic+LowerBackPain,JS+3D_Sc_Sf_JS,Sal+oPGSAL,Sal+mMP7SAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_rf,20,Sal+angiogeninSAL,Af+Af_lowGreyLevelRun,Sal+tRANCESAL,C+C_longRunHighGrey,Af+Af_shortRunEmph,Sal+oPGSAL,Af+Af_shortRunLowGrey,Af+Af_TbSp,clinic+MouthOpen,Af+Af_highGreyLevelRun,C+C_lowGreyLevelRun,Af+Af_longRunLowGrey,Af+Af_BSBV,Af+Af_TbTh,Af+Af_shortRunHighGrey,Af+Af_BVTV,clinic+LowerBackPain,C+C_shortRunHighGrey,C+C_highGreyLevelRun,clinic+Headache,,,,,,,,,,,,,,,,,,,,
xgbTree_xgbTree,20,Sal+oPGSAL,C+C_energy,clinic+LowerBackPain,C+C_highGreyLevelRun,Ser+pAI1Seru,C+C_TbN,Af+Af_longRunHighGrey,Af+Af_shortRunLowGrey,Ser+oPGSeru,Sal+angiogeninSAL,Ser+angiogeninSeru,clinic+Headache,Sal+mMP7SAL,JS+3D_Sc_Sf_JS,Ser+tIMP1Seru,Af+Af_TbTh,clinic+RestlessSleep,Sal+tRANCESAL,Af+Af_TbN,Af+Af_lowGreyLevelRun,,,,,,,,,,,,,,,,,,,,
xgbTree_lda2,5,Af+Af_TbTh,Af+Af_BVTV,Af+Af_runLengthNonunif,C+C_TbSp,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_nnet,5,clinic+LowerBackPain,C+C_highGreyLevelRun,Af+Af_BSBV,C+C_shortRunHighGrey,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmboost,20,C+C_runLengthNonunif,Ser+angiogeninSeru,C+C_TbSp,Af+Af_energy,clinic+LowerBackPain,clinic+RestlessSleep,C+C_TbTh,Af+Af_shortRunLowGrey,Af+Af_BVTV,clinic+Headache,Sal+eNA78SAL,C+C_BSBV,Af+Af_longRunEmph,Af+Af_shortRunEmph,Sal+tRANCESAL,C+C_greyLevelNonunif,Af+Af_TbTh,Af+Af_BSBV,Af+Af_lowGreyLevelRun,C+C_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,
lda2_glmnet,10,clinic+MuscleSore,Ser+mMP7Seru,Sal+oPGSAL,Sal+angiogeninSAL,Ser+bDNFSeru,clinic+LowerBackPain,Sal+mMP7SAL,Af+Af_BSBV,Ser+vEGFSeru,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_rf,5,C+C_lowGreyLevelRun,Ser+vEGFSeru,Af+Af_shortRunHighGrey,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_xgbTree,15,Af+Af_longRunLowGrey,JS+3D_Sc_Sf_JS,Ser+angiogeninSeru,Sal+tIMP1SAL,Sal+eNA78SAL,clinic+LowerBackPain,demo+Age,Af+Af_longRunHighGrey,Ser+tGFb1Seru,Af+Af_shortRunHighGrey,C+C_entropy,clinic+Headache,Ser+mMP3Seru,Af+Af_BVTV,Af+Af_invDiffMoment,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_lda2,20,Ser+bDNFSeru,Sal+vEGFSAL,C+C_entropy,C+C_highGreyLevelRun,clinic+Headache,Af+Af_longRunLowGrey,C+C_TbN,Ser+angiogeninSeru,Af+Af_shortRunHighGrey,Af+Af_BVTV,C+C_energy,Af+Af_entropy,C+C_correlation,C+C_longRunHighGrey,Ser+tIMP1Seru,C+C_BVTV,Af+Af_shortRunEmph,Af+Af_longRunEmph,C+C_TbSp,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,
lda2_nnet,10,Ser+tRANCESeru,Af+Af_correlation,JS+3D_Sc_Sf_JS,Ser+angiogeninSeru,Sal+mMP7SAL,Ser+bDNFSeru,clinic+LowerBackPain,Ser+mMP7Seru,Sal+oPGSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_glmboost,15,C+C_TbSp,C+C_shortRunHighGrey,clinic+Headache,C+C_lowGreyLevelRun,Af+Af_shortRunHighGrey,Sal+eNA78SAL,Af+Af_longRunEmph,Ser+vECadherinSeru,Ser+tGFb1Seru,Ser+cXCL16Seru,Sal+oPGSAL,Ser+vEGFSeru,C+C_correlation,C+C_shortRunEmph,C+C_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmnet,5,Sal+mMP7SAL,Sal+angiogeninSAL,Ser+vEGFSeru,clinic+Headache,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_rf,15,JS+3D_Sc_Sf_JS,C+C_lowGreyLevelRun,Af+Af_lowGreyLevelRun,Af+Af_BVTV,Af+Af_longRunHighGrey,clinic+LowerBackPain,Af+Af_TbTh,Af+Af_BSBV,Af+Af_highGreyLevelRun,Af+Af_longRunLowGrey,clinic+RestlessSleep,C+C_highGreyLevelRun,clinic+Headache,C+C_shortRunHighGrey,Af+Af_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_xgbTree,15,Ser+bDNFSeru,Sal+eNA78SAL,Af+Af_shortRunLowGrey,Ser+vEGFSeru,Af+Af_shortRunEmph,Ser+tGFb1Seru,Ser+eNA78Seru,Af+Af_lowGreyLevelRun,Sal+tRANCESAL,clinic+Headache,Af+Af_longRunHighGrey,Sal+cXCL16SAL,JS+3D_Sc_Sf_JS,C+C_shortRunLowGrey,clinic+MouthOpen,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_lda2,20,Af+Af_TbSp,C+C_longRunHighGrey,Af+Af_lowGreyLevelRun,C+C_shortRunLowGrey,Af+Af_highGreyLevelRun,C+C_lowGreyLevelRun,Af+Af_longRunHighGrey,Sal+tRANCESAL,Sal+oPGSAL,C+C_BSBV,Af+Af_entropy,Af+Af_BVTV,C+C_TbTh,Af+Af_longRunLowGrey,C+C_shortRunEmph,Af+Af_TbTh,C+C_entropy,C+C_invDiffMoment,C+C_correlation,Af+Af_energy,,,,,,,,,,,,,,,,,,,,
nnet_nnet,15,Af+Af_entropy,C+C_inertia,Sal+oPGSAL,Af+Af_highGreyLevelRun,Af+Af_correlation,Ser+eNA78Seru,clinic+MouthOpen,Sal+vECadherinSAL,Af+Af_BSBV,Sal+eNA78SAL,clinic+MuscleSore,Ser+cXCL16Seru,clinic+Headache,Af+Af_shortRunEmph,Sal+vEGFSAL,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmboost,15,C+C_correlation,C+C_TbN,Af+Af_greyLevelNonunif,Ser+mMP7Seru,clinic+MuscleSore,Ser+tRANCESeru,Ser+eNA78Seru,clinic+MouthOpen,C+C_BSBV,C+C_shortRunHighGrey,clinic+RestlessSleep,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Sal+vECadherinSAL,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmnet,5,clinic+LowerBackPain,Ser+vEGFSeru,JS+3D_Sc_Sf_JS,Ser+eNA78Seru,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_rf,10,clinic+MouthOpen,Sal+oPGSAL,C+C_energy,C+C_correlation,JS+3D_Sc_Sf_JS,C+C_highGreyLevelRun,Ser+vEGFSeru,Af+Af_shortRunHighGrey,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_xgbTree,5,Af+Af_shortRunHighGrey,JS+3D_Sc_Sf_JS,Af+Af_TbTh,clinic+Headache,C+C_highGreyLevelRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_lda2,10,Sal+vEGFSAL,Af+Af_highGreyLevelRun,C+C_invDiffMoment,C+C_longRunHighGrey,Af+Af_energy,Af+Af_TbTh,C+C_inertia,Af+Af_BSBV,C+C_shortRunEmph,Af+Af_entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_nnet,5,Sal+tIMP1SAL,Af+Af_greyLevelNonunif,Ser+oPGSeru,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmboost,20,C+C_energy,Ser+bDNFSeru,Ser+angiogeninSeru,Ser+tGFb1Seru,JS+3D_Sc_Sf_JS,Af+Af_TbTh,Af+Af_shortRunHighGrey,C+C_highGreyLevelRun,Sal+tIMP1SAL,Ser+vECadherinSeru,Af+Af_longRunLowGrey,Ser+tIMP1Seru,Sal+oPGSAL,Af+Af_invDiffMoment,C+C_shortRunHighGrey,Sal+vECadherinSAL,Af+Af_runLengthNonunif,Af+Af_lowGreyLevelRun,Ser+eNA78Seru,clinic+Headache,,,,,,,,,,,,,,,,,,,,
